Id,Neighborhood,Population
131211, Adachi,670122
131059, Bunkyo,219724
131016, Chiyoda,58406
131067, Taito,198073
131091, Shinagawa,386855
131237, Edogawa,681298
131041, Shinjuku,333560
131130, Shibuya,224533
131172, Kita,341076
131164, Toshima,291167
131024, Chuo,141183
131156, Suginami,563997
131199, Itabashi,561916
131121, Setagaya,903346
131075, Sumida,256274
131148, Nakano,328215
131202, Nerima,721722
131083, Koto,498109
131105, Meguro,277622
131229, Katsushika,442913
131032, Minato,243283
131113, Ota,717082
131181, Arakawa,212264
134210, Ogasawara,3022
132080, Chofu,229061
132021, Tachikawa,176295
133078, Hinohara,2209
132012, Hachioji,577513
132217, Kiyose,74864
132047, Mitaka,186936
132136, Higashimurayama,149956
134015, Hachijo,7613
132225, Higashikurume,116632
133639, Niijima,2749
132292, Nishitokyo,200012
133086, Okutama,5234
132110, Kodaira,190005
132187, Fussa,58395
133051, Hinode,17446
132071, Akishima,111539
133825, Mikurajima,335
133817, Miyake,2482
132152, Kunitachi,73655
132144, Kokubunji,122742
133621, Toshima,337
133647, Kouzushima,1891
134023, Aogashima,178
132209, Higashiyamato,85157
132241, Tama,146631
132276, Hamura,55833
133035, Mizuho,33445
132233, Musashimurayama,71229
132195, Komae,80249
132063, Fuchu,260274
132101, Koganei,121396
132098, Machida,432348
132128, Hino,186283
133612, Oshima,7884
132055, Ome,137381
132039, Musashino,144730
132284, Akiruno,80954
132250, Inagi,87636
